"de_para";"valor"
"Brands            02/04";"Brands"
"Brands";"Brands"
"Hna*oboticario    02/04";"Hna"
"Roberto Vidal Card02/03";"Roberto"
"Vent Vert Cn      02/06";"Vent"
"J A Rodrigues Bici02/02";"J"
"Rotiserie La Rome 02/02";"Rotiserie"
"Carrefour Fvm";"Carrefour"
"Vila Guilherme";"Vila"
"Rbm Supermer-ct  Ltda";"Rbm"
"Tokio Marine*auto11d12";"Tokio"
"Oggi Sorvete-ct Unidad";"Oggi"
"Kalunga V. Guilher01/02";"Kalunga"
"Outlet Vila Maria  (04/06)";"Outlet"
"Brands             (03/04)";"Brands"
"Vent Vert Cn       (03/06)";"Vent"
"Hna*oboticario     (03/04)";"Hna"
"Roberto Vidal Cardo(03/03)";"Roberto"
"Kalunga V. Guilherm(02/02)";"Kalunga"
"estacionamento";"estacionamento"
"MOBILEPAG TIT BANCO 001";"MOBILEPAG"
